,Open,High,Low,Close,Adj Close,Volume
2009-01-01,60.83333206176758,61.61666488647461,60.166664123535156,60.608333587646484,33.54574203491211,3655302.0
2009-01-02,60.83333206176758,61.61666488647461,60.166664123535156,60.608333587646484,33.54574203491211,3655302.0
2009-01-03,60.83333206176758,61.61666488647461,60.166664123535156,60.608333587646484,33.54574203491211,3655302.0
2009-01-04,60.83333206176758,61.61666488647461,60.166664123535156,60.608333587646484,33.54574203491211,3655302.0
2009-01-05,60.83333206176758,60.983333587646484,58.508331298828125,59.858333587646484,33.13063049316406,5697840.0
2009-01-06,59.5,63.05833435058594,59.33333206176758,62.24166488647461,34.449771881103516,6507708.0
2009-01-07,62.5,62.79999923706055,59.666664123535156,61.30833435058594,33.93318176269531,3325206.0
2009-01-08,62.5,62.79999923706055,59.666664123535156,61.30833435058594,33.93318176269531,3325206.0
2009-01-09,61.33333206176758,63.83333206176758,60.5,63.44166564941406,35.11394500732422,5504634.0
2009-01-10,61.33333206176758,63.83333206176758,60.5,63.44166564941406,35.11394500732422,5504634.0
2009-01-11,61.33333206176758,63.83333206176758,60.5,63.44166564941406,35.11394500732422,5504634.0
2009-01-12,63.44166564941406,64.16666412353516,59.766666412353516,60.79999923706055,33.65183639526367,5498802.0
2009-01-13,60.0,63.32500076293945,60.0,62.56666564941406,34.6296501159668,4111668.0
2009-01-14,62.5,63.33333206176758,61.666664123535156,62.375,34.52356719970703,2851326.0
2009-01-15,63.34166717529297,63.55833435058594,61.258331298828125,62.758331298828125,34.73573684692383,3355086.0
2009-01-16,63.33333206176758,64.625,62.83333206176758,64.20833587646484,35.53828811645508,3905910.0
2009-01-17,63.33333206176758,64.625,62.83333206176758,64.20833587646484,35.53828811645508,3905910.0
2009-01-18,63.33333206176758,64.625,62.83333206176758,64.20833587646484,35.53828811645508,3905910.0
2009-01-19,65.0,65.19999694824219,63.43333435058594,64.0999984741211,35.478328704833984,3324858.0
2009-01-20,63.33333206176758,65.98332977294922,62.33333206176758,65.46666717529297,36.23475646972656,6832230.0
2009-01-21,65.0,65.83333587646484,64.34166717529297,64.71666717529297,35.819644927978516,2177934.0
2009-01-22,64.33333587646484,64.81666564941406,63.33333206176758,64.18333435058594,35.524452209472656,1405254.0
2009-01-23,61.70833206176758,64.32499694824219,60.45000076293945,61.099998474121094,33.81787872314453,3737856.0
2009-01-24,61.70833206176758,64.32499694824219,60.45000076293945,61.099998474121094,33.81787872314453,3737856.0
2009-01-25,61.70833206176758,64.32499694824219,60.45000076293945,61.099998474121094,33.81787872314453,3737856.0
